constructor_id,constructor,decade,first_year,last_year,seasons,races,drivers_any_entrant,drivers_works,drivers_pool,cars,wins,podiums,playable,wheel_weight
alfa-romeo,Alfa Romeo,2020s,2020,2023,4,83,5,5,4,4,0,0,1,high
matra,Matra,1960s,1966,1969,4,27,7,5,4,4,9,16,1,high
arrows,Arrows,2000s,2000,2002,3,46,4,4,4,3,0,0,1,high
brabham,Brabham,1990s,1990,1992,3,43,7,7,4,3,0,0,1,high
dallara,Dallara,1990s,1990,1992,3,48,5,5,4,3,0,1,1,high
lola,Lola,1990s,1990,1997,3,47,4,4,4,3,0,1,1,high
ram,RAM,1980s,1983,1985,3,44,6,6,4,3,0,0,1,high
stewart,Stewart,1990s,1997,1999,3,49,4,4,4,3,1,5,1,high
ats-wheels,ATS,1970s,1978,1979,2,31,5,5,4,2,0,0,1,high
fondmetal,Fondmetal,1990s,1991,1992,2,29,4,4,4,2,0,0,1,high
forti,Forti,1990s,1995,1996,2,27,4,4,4,2,0,0,1,high
kick-sauber,Kick Sauber,2020s,2024,2025,2,48,4,4,4,2,0,1,1,high
larrousse,Larrousse,1990s,1993,1994,2,32,7,7,4,2,0,0,1,high
lotus,Lotus,1950s,1958,1959,2,17,7,4,4,2,0,0,1,high
mercedes,Mercedes,1950s,1954,1955,2,12,7,7,4,2,9,17,1,high
simtek,Simtek,1990s,1994,1995,2,21,6,6,4,2,0,0,1,high
aston-martin,Aston Martin,2020s,2021,2025,5,114,4,4,3,5,0,9,1,low
fittipaldi,Fittipaldi,1970s,1975,1979,5,77,4,4,3,5,0,1,1,low
honda,Honda,1960s,1964,1968,5,35,6,5,3,5,2,5,1,low
ags,AGS,1980s,1986,1989,4,50,5,5,3,4,0,0,1,low
bmw-sauber,BMW Sauber,2000s,2006,2009,4,70,4,4,3,4,1,17,1,low
haas,Haas,2010s,2016,2019,4,83,3,3,3,4,0,0,1,low
ligier,Ligier,1970s,1976,1979,4,64,4,4,3,4,4,15,1,low
lotus-f1,Lotus,2010s,2012,2015,4,77,5,5,3,4,2,25,1,low
fittipaldi,Fittipaldi,1980s,1980,1982,3,43,3,3,3,3,0,2,1,low
matra,Matra,1970s,1970,1972,3,35,3,3,3,3,0,5,1,low
prost,Prost,1990s,1997,1999,3,49,3,3,3,3,0,3,1,low
simca-gordini,Simca-Gordini,1950s,1950,1953,3,8,10,5,3,3,0,0,1,low
spirit,Spirit,1980s,1983,1985,3,25,3,3,3,3,0,0,1,low
wolf,Wolf,1970s,1977,1979,3,48,4,4,3,3,3,13,1,low
arrows,Arrows,1970s,1978,1979,2,30,3,3,3,2,0,1,1,low
benetton,Benetton,2000s,2000,2001,2,34,3,3,3,2,0,4,1,low
force-india,Force India,2000s,2008,2009,2,35,3,3,3,2,0,1,1,low
lancia,Lancia,1950s,1954,1955,2,5,4,4,3,2,0,1,1,low
lola,Lola,1970s,1974,1975,2,18,4,4,3,2,0,0,1,low
pacific,Pacific,1990s,1994,1995,2,33,5,5,3,2,0,0,1,low
virgin,Virgin,2010s,2010,2011,2,38,3,3,3,2,0,0,1,low
bar,BAR,1990s,1999,1999,1,16,3,3,3,1,0,0,1,low
hill,Hill,1970s,1975,1975,1,11,5,5,3,1,0,0,1,low
manor,Manor,2010s,2016,2016,1,21,3,3,3,1,0,0,1,low
march,March,1990s,1992,1992,1,16,4,4,3,1,0,0,1,low
rb,RB,2020s,2024,2024,1,24,3,3,3,1,0,0,1,low
spyker,Spyker,2000s,2007,2007,1,17,4,4,3,1,0,0,1,low
wolf-williams,Wolf-Williams,1970s,1976,1976,1,16,6,6,3,1,0,0,1,low
eagle,Eagle,1960s,1966,1969,4,25,5,5,2,4,1,2,1,low
mclaren,McLaren,1960s,1966,1969,4,35,7,3,2,4,4,11,1,low
coloni,Coloni,1980s,1987,1989,3,34,4,4,2,3,0,0,1,low
era,ERA,1950s,1950,1952,3,6,7,2,2,3,0,0,1,low
honda,Honda,2000s,2006,2008,3,53,2,2,2,3,1,4,1,low
lola,Lola,1960s,1962,1968,3,11,11,4,2,3,0,2,1,low
penske,Penske,1970s,1974,1977,3,28,7,2,2,3,1,3,1,low
renault,Renault,1970s,1977,1979,3,34,2,2,2,3,1,4,1,low
ags,AGS,1990s,1990,1991,2,30,2,2,2,2,0,0,1,low
brp,BRP,1960s,1963,1964,2,13,2,2,2,2,0,0,1,low
dallara,Dallara,1980s,1988,1989,2,32,2,2,2,2,0,1,1,low
leyton-house,Leyton House,1990s,1990,1991,2,32,3,3,2,2,0,1,1,low
lotus-racing,Lotus Racing,2010s,2010,2011,2,38,3,3,2,2,0,0,1,low
rial,Rial,1980s,1988,1989,2,32,2,2,2,2,0,0,1,low
tecno,Tecno,1970s,1972,1973,2,13,3,3,2,2,0,0,1,low
williams,Williams,1970s,1978,1979,2,31,2,2,2,2,5,11,1,low
alfa-romeo,Alfa Romeo,2010s,2019,2019,1,21,2,2,2,1,0,0,1,low
aston-martin,Aston Martin,1950s,1959,1959,1,4,2,2,2,1,0,0,1,low
ats,ATS,1960s,1963,1963,1,5,2,2,2,1,0,0,1,low
brawn,Brawn,2000s,2009,2009,1,17,2,2,2,1,8,15,1,low
de-tomaso,De Tomaso,1970s,1970,1970,1,11,2,2,2,1,0,0,1,low
eurobrun,EuroBrun,1980s,1988,1989,1,32,2,2,2,1,0,0,1,low
frank-williams-racing-cars,Frank Williams Racing Cars,1970s,1975,1975,1,14,7,7,2,1,0,1,1,low
midland,Midland,2000s,2006,2006,1,18,2,2,2,1,0,0,1,low
onyx,Onyx,1980s,1989,1989,1,16,3,3,2,1,0,1,1,low
onyx,Onyx,1990s,1990,1990,1,10,2,2,2,1,0,0,1,low
racing-bulls,Racing Bulls,2020s,2025,2025,1,24,3,3,2,1,0,1,1,low
racing-point,Racing Point,2010s,2019,2019,1,21,2,2,2,1,0,0,1,low
racing-point,Racing Point,2020s,2020,2020,1,17,3,3,2,1,1,4,1,low
renault,Renault,2020s,2020,2020,1,17,2,2,2,1,0,3,1,low
talbot-lago,Talbot-Lago,1950s,1950,1951,1,4,18,5,2,1,0,2,1,low
venturi,Venturi,1990s,1992,1992,1,16,2,2,2,1,0,0,1,low
parnelli,Parnelli,1970s,1974,1976,3,16,1,1,1,3,0,0,0,low
boro,Boro,1970s,1976,1977,2,8,2,2,1,2,0,0,0,low
jbw,JBW,1960s,1960,1961,2,5,1,1,1,2,0,0,0,low
merzario,Merzario,1970s,1978,1979,2,31,1,1,1,2,0,0,0,low
scirocco,Scirocco,1960s,1963,1964,2,7,3,3,1,2,0,0,0,low
alfa-romeo,Alfa Romeo,1970s,1979,1979,1,5,2,2,1,1,0,0,0,low
eifelland,Eifelland,1970s,1972,1972,1,8,1,1,1,1,0,0,0,low
eurobrun,EuroBrun,1990s,1990,1990,1,14,1,1,1,1,0,0,0,low
lec,LEC,1970s,1977,1977,1,5,1,1,1,1,0,0,0,low
martini,Martini,1970s,1978,1978,1,7,1,1,1,1,0,0,0,low
modena,Modena,1990s,1991,1991,1,16,2,2,1,1,0,0,0,low
osella,Osella,1990s,1990,1990,1,16,1,1,1,1,0,0,0,low
trojan,Trojan,1970s,1974,1974,1,8,1,1,1,1,0,0,0,low
gilby,Gilby,1960s,1961,1963,3,6,2,2,0,3,0,0,0,low
lds,LDS,1960s,1962,1968,3,3,2,2,0,3,0,0,0,low
osca,O.S.C.A.,1950s,1951,1958,3,4,3,2,0,3,0,0,0,low
porsche,Porsche,1950s,1957,1959,3,4,5,3,0,3,0,0,0,low
alfa-special,Alfa Special,1960s,1963,1965,2,2,1,1,0,2,0,0,0,low
alta,Alta,1950s,1950,1952,2,3,4,3,0,2,0,0,0,low
bellasi,Bellasi,1970s,1970,1971,2,6,1,1,0,2,0,0,0,low
heck,Heck,1950s,1952,1953,2,2,1,1,0,2,0,0,0,low
kojima,Kojima,1970s,1976,1977,2,2,3,2,0,2,0,0,0,low
afm,AFM,1950s,1952,1953,1,1,5,1,0,1,0,0,0,low
amon,Amon,1970s,1974,1974,1,4,1,1,0,1,0,0,0,low
andrea-moda,Andrea Moda,1990s,1992,1992,1,10,1,1,0,1,0,0,0,low
aston-martin,Aston Martin,1960s,1960,1960,1,2,2,2,0,1,0,0,0,low
balsa,Balsa,1950s,1952,1952,1,1,1,1,0,1,0,0,0,low
behra-porsche,Behra-Porsche,1960s,1960,1960,1,2,2,2,0,1,0,0,0,low
bugatti,Bugatti,1950s,1956,1956,1,1,1,1,0,1,0,0,0,low
connew,Connew,1970s,1972,1972,1,2,1,1,0,1,0,0,0,low
de-tomaso,De Tomaso,1960s,1961,1963,1,3,4,1,0,1,0,0,0,low
derrington-francis,Derrington-Francis,1960s,1964,1964,1,1,1,1,0,1,0,0,0,low
emeryson,Emeryson,1950s,1956,1956,1,1,1,1,0,1,0,0,0,low
emeryson,Emeryson,1960s,1961,1962,1,4,2,1,0,1,0,0,0,low
emw,EMW,1950s,1953,1953,1,1,1,1,0,1,0,0,0,low
enb,ENB,1960s,1962,1962,1,1,1,1,0,1,0,0,0,low
ferguson,Ferguson,1960s,1961,1961,1,1,2,2,0,1,0,0,0,low
greifzu,Greifzu,1950s,1953,1953,1,1,1,1,0,1,0,0,0,low
jbw,JBW,1950s,1959,1959,1,1,1,1,0,1,0,0,0,low
klenk,Klenk,1950s,1954,1954,1,1,1,1,0,1,0,0,0,low
kurtis-kraft,Kurtis Kraft,1950s,1959,1959,1,1,1,1,0,1,0,0,0,low
lyncar,Lyncar,1970s,1974,1975,1,2,1,1,0,1,0,0,0,low
nacke,Nacke,1950s,1952,1952,1,1,1,1,0,1,0,0,0,low
politoys,Politoys,1970s,1972,1972,1,1,1,1,0,1,0,0,0,low
protos,Protos,1960s,1967,1967,1,1,2,2,0,1,0,0,0,low
rebaque,Rebaque,1970s,1979,1979,1,3,1,1,0,1,0,0,0,low
reif,Reif,1950s,1952,1952,1,1,1,1,0,1,0,0,0,low
scarab,Scarab,1960s,1960,1960,1,5,2,2,0,1,0,0,0,low
shadow,Shadow,1980s,1980,1980,1,7,1,1,0,1,0,0,0,low
shannon,Shannon,1960s,1966,1966,1,1,1,1,0,1,0,0,0,low
stebro,Stebro,1960s,1963,1963,1,1,1,1,0,1,0,0,0,low
tec-mec,Tec-Mec,1950s,1959,1959,1,1,1,1,0,1,0,0,0,low
tecno,Tecno,1960s,1969,1969,1,1,1,1,0,1,0,0,0,low
theodore,Theodore,1970s,1978,1978,1,7,1,1,0,1,0,0,0,low
token,Token,1970s,1974,1974,1,4,2,2,0,1,0,0,0,low
vanwall,Vanwall,1960s,1960,1960,1,1,1,1,0,1,0,0,0,low
veritas,Veritas,1950s,1951,1953,1,1,15,1,0,1,0,0,0,low
apollon,Apollon,1970s,1977,1977,0,1,0,0,0,0,0,0,0,low
arzani-volpini,Arzani-Volpini,1950s,1955,1955,0,1,0,0,0,0,0,0,0,low
aston-butterworth,Aston Butterworth,1950s,1952,1952,0,0,2,0,0,0,0,0,0,low
behra-porsche,Behra-Porsche,1950s,1959,1959,0,0,0,0,0,0,0,0,0,low
bmw,BMW,1960s,1969,1969,0,1,0,0,0,0,0,0,0,low
cisitalia,Cisitalia,1950s,1952,1952,0,1,0,0,0,0,0,0,0,low
coloni,Coloni,1990s,1990,1991,0,31,0,0,0,0,0,0,0,low
frazer-nash,Frazer-Nash,1950s,1952,1952,0,0,2,0,0,0,0,0,0,low
fry,Fry,1950s,1959,1959,0,1,0,0,0,0,0,0,0,low
kauhsen,Kauhsen,1970s,1979,1979,0,2,0,0,0,0,0,0,0,low
krakau,Krakau,1950s,1952,1952,0,1,0,0,0,0,0,0,0,low
life,Life,1990s,1990,1990,0,14,0,0,0,0,0,0,0,low
maki,Maki,1970s,1974,1976,0,8,0,0,0,0,0,0,0,low
maserati,Maserati,1960s,1960,1960,0,0,6,0,0,0,0,0,0,low
mcguire,McGuire,1970s,1977,1977,0,1,0,0,0,0,0,0,0,low
